name,address,phone,url
Amber's Hallmark,"30959 Five Mile Road, Livonia, MI 48154, USA",(734) 522-5370,http://www.ambershallmark.com/?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
American Shaman,"3702 WestTruman Boulevard, Suite 200, Jefferson City, MO 65109, USA",(573) 616-2524,no url given
Amsterdam Smoke Shop,"2682 Dove Crossing Drive, New Braunfels, TX 78130, USA",(830) 625-2399,https://www.amsterdamsmokeshopsa.com/
Amy's Hallmark Shop #162,"3257 Maple Creek Drive, Zanesville, OH 43701, USA",(740) 453-2273,https://stores.hallmark.com/oh/zanesville/amys-hallmark-shop-zanesville-oh-010662.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #238,"3100 Main Street, Suite 1140, Maumee, OH 43537, USA",(419) 878-3003,https://stores.hallmark.com/oh/maumee/amys-hallmark-shop-maumee-oh-067944.html
Amy's Hallmark Shop #248,"67800 Mall Ring Road, #150, St. Clairsville, OH 43950, USA",(740) 699-2940,https://stores.hallmark.com/oh/saintclairsville/amys-hallmark-shop-saintclairsville-oh-005858.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #315,"676 Richland Mall, Mansfield, OH 44906, USA",(419) 529-4208,https://stores.hallmark.com/oh/mansfield/amys-hallmark-shop-mansfield-oh-045501.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #336,"7466 Beechmont Avenue, Suite #405, Cincinnati, OH 45255, USA",(513) 232-3999,https://stores.hallmark.com/oh/cincinnati/amys-hallmark-shop-cincinnati-oh-000469.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #376,"35910 Detroit Road, Avon, OH 44011, USA",(440) 937-0966,https://stores.hallmark.com/oh/avon/amys-hallmark-shop-avon-oh-007333.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #495,"2715 Edmondson Road, Cincinnati, OH 45209, USA",(513) 351-5600,https://stores.hallmark.com/oh/cincinnati/amys-hallmark-shop-cincinnati-oh-066490.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #544,"4314 Milan Road, Suite #165, Sandusky, OH 44870, USA",(419) 625-5034,https://stores.hallmark.com/oh/sandusky/amys-hallmark-shop-sandusky-oh-059489.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #552,"26091 North Court, North Olmsted, OH 44070, USA",(440) 734-0233,https://stores.hallmark.com/oh/northolmsted/amys-hallmark-shop-northolmsted-oh-010874.html
Amy's Hallmark Shop #619,"2835 Taylor Road, Reynoldsburg, OH 43068, USA",(614) 868-8065,https://stores.hallmark.com/oh/reynoldsburg/amys-hallmark-shop-reynoldsburg-oh-066969.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #643,"3940 Morse Xing Road, Columbus, OH 43219, USA",(614) 471-8850,https://stores.hallmark.com/oh/columbus/amys-hallmark-shop-columbus-oh-067704.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #739,"238 East Harmony Road, Fort Collins, CO 80525, USA",(970) 225-6920,https://stores.hallmark.com/co/fortcollins/amys-hallmark-shop-fortcollins-co-066451.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #803,"18340 Royalton Road, Strongsville, OH 44136, USA",(440) 846-8680,https://stores.hallmark.com/oh/strongsville/amys-hallmark-shop-strongsville-oh-058664.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #843,"377 Boardman Poland Road, Youngstown, OH 44512, USA",(330) 965-2130,https://stores.hallmark.com/oh/youngstown/amys-hallmark-shop-youngstown-oh-061091.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #864,"7070 Hospital Drive Road, Dublin, OH 43016, USA",(614) 798-9770,https://stores.hallmark.com/oh/dublin/amys-hallmark-shop-dublin-oh-062981.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Amy's Hallmark Shop #938,"1307 Polaris Parkway, Columbus, OH 43240, USA",(614) 846-7832,https://stores.hallmark.com/oh/columbus/amys-hallmark-shop-columbus-oh-066468.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Anna's of Lakeland,"1456 Town Center Drive, Lakeland, FL 33803, USA",(863) 802-1627,http://www.annasoflakeland.com/
Annie's Hallmark,"Target Plaza, 203 South Broadway, Salem, NH 03079, USA",(603) 898-1778,http://annieshallmark.com/
Ann's Hallmark,"7870 Foundation Drive, Florence, KY 41041, USA",(859) 525-7007,https://stores.hallmark.com/ky/florence/anns-hallmark-shop-florence-ky-059178.html
Apex Pharmacy,"2380 Dixwell Avenue, Suite 1, Hamden, CT 06514, USA",(203) 281-6571,https://www.apexpharm.com/
"Apogee Gardens, LLC","726 Forest Glen Drive, Apartment A, Bozeman, MT 59718, USA",no phone given,no url given
Apothecary Gift Shop,"35 West 8th Street, Holland, MI 49423, USA",(616) 392-4707,https://www.apothecarygiftshop.com/
Arizona Natural Remedies,"22041 North 23rd Avenue, Phoenix, AZ 85027, USA",(623) 582-0436,http://www.arizonanaturalremedies.com/
"Armstrong Massage Rehab, LLC","428 S Gilbert Rd #106-7, Gilbert, AZ 85296",(480) 250-3873,https://www.armstrongmassage.com/
Artisan's New London,"11 Pleasant Street, PO Box 124, New London, NH 03257, USA",(603) 526-4227,https://www.artisansnewlondon.com/
Artist Collective,"7250 Franklin Avenue, #1117, Los Angeles, CA 90046, USA",no phone given,no url given
Aspen Management,"1250 South Plaza Way, Suite A, Flagstaff, AZ 86001, USA",no phone given,no url given
At Hair Tracy,"10691 West Parnell Avenue, Suite 2, Hales Corners, WI 53130,
USA",no phone given,no url given
A Touch Of Wellbeing,"356 Bloomfield Avenue, Caldwell, NJ 07006, USA",(973) 228-4289,https://www.atouchofwellbeingnj.com/
Aurora CBD & Hemp,"614 Barrow Street, Houma, LA 70360, USA",(985) 746-5464,no url given
Azana Salon and Spa,"200 North Moorland Road, Brookfield, WI 53005, USA",(262) 784-4700,https://www.azanaspa.com/
AZ Hemp Health,"5233 East Southern Avenue, Suite C-102, Mesa, AZ 85233, USA",(480) 590-1530,no url given
Back In Sync,"6730 State Route 503 North, PO Box 67, Lewisburg, OH 45338, USA",no phone given,no url given
Balanced Life Solutions,"7832 East Leland Circle, Mesa, AZ 85207, USA",no phone given,no url given
Balance Spa,"1788 Main Street, Tewksbury, MA 01876, USA",(978) 851-9898,https://balancespa.com/
Bare CBD Shop,"112 Orange Street, Redlands, CA 92399, USA",no phone given,no url given
Barrington Books Retold,"176 Hillside Road, Cranston, RI 02920, USA",(401) 432-7222,http://www.barringtonbooks.com/
Barrington Book Store,"184 County Road, Barrington, RI 02806, USA",(401) 245-7925,http://www.barringtonbooks.com/
Bath Junkie,"741 Hanover Place, Carmel, IN 46032, USA",(317) 805-1850,https://www.bathjunkiecarmel.com/
Bathtime Boutique,"Bathtime Boutique, 900 Rutter Ave, Forty Fort, PA 18704, USA",(570) 288-1122,https://www.bathtimeboutiquenepa.com/
Baxley Florist,"135 Blackshear Highway, Baxley, GA 31513, USA",(912) 705-9500,http://www.baxleyfloristanddesign.com/
Bayou Book Co.,"1118 John Sims Parkway, Niceville, FL 32578, USA",(850) 678-1593,https://stores.hallmark.com/fl/niceville/bayou-book-co-niceville-fl-016222.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Bayou Hemp CBD,"168 Baja Trail, Thibodaux, LA 70301, USA",no phone given,no url given
Bear Valley Wellness,"PO Box 1749-321, Big Bear Lake, CA 92315, USA",(909) 547-6392,http://bearvalleywellness.org/?fbclid=IwAR2R_RoX57EXwDAsg_dBHdNMhpnoijknZgT0JqyqJX3XT8gCEMEQtIn2lGQ
Beautique,"26 Parker Street, Newburyport, MA 01950, USA",(978) 255-2774,http://beautiquenbpt.com/
Beauty and the Bath,"11 West Main Street, North Kingstown, RI 02852, USA",(401) 294-3576,https://beautyandthebath.myshopify.com/
Beauty Depot,"631 North 400 West, Salt Lake City, UT 84103, USA",(866) 443-2494,https://beautydepot.com/?ls=en
Bedminster Speciality Pharmacy,"1560 U.S. 206, Bedminster, NJ 07921, USA",(908) 396-7000,http://www.bedminsterpharmacy.com/
Behance Beauty,"8781 Bridge Street, North Richland Hills, TX 76180, USA",(817) 995-5044,https://www.behancewellness.com/
Bella Skin Care Maui,"4451 Une Place, Haiku, HI 96708, USA",no phone given,no url given
Belleview Community Pharmacy,"10762 South East US Highway 441, Belleview, FL 34420, USA",(352) 347-4064,http://www.belleviewcommunitypharmacy.com/
Bev & Co,"1 South Main Street, Homer, NY 13077, USA",(607) 749-2148,https://www.bevandco.com/
Bienestar CBD,"50 1st Street Northeast, Cleveland, TN 37311, USA",(423) 790-1013,https://www.bienestarcbdsouth.com/
Big Muddy Brewing Company,"1430 North 7th Street, Murphysboro, IL 62966, USA",(618) 684-8833,http://bigmuddybrewing.com/verify.php?return=/&x=-1
"Bioluxe, LLC","911 Summit Road, Penn Valley, PA 19072, USA",no phone given,no url given
"Birch Body Care, LLC","5 Delta Place, Kingston, NY 12401, USA",no phone given,no url given
Bishops Daughter CBD,"5485 Sweetwood Circle, Murray, UT 84123, USA",no phone given,no url given
"Black Edition, LLC","1019 Waimanu Street, Suite 205, Honolulu, HI 96814, USA",(808) 728-1202,https://www.blackeditionliquidz.com/
Blooming Boutique,"107 2nd Street, Lewes, DE 19958, USA",(302)644-4052,https://bloomingboutique.com/
Blown Away Vape and Glass,"2013 South Minnesota Avenue, Sioux Falls, SD 57105, USA",(605) 274-0157,http://blownawayvaping.com/
Blowology Dry Bar,"660 Market Street, 210, San Francisco, CA 94104, USA",(415) 524-7285,https://www.blowologydribar.com/
Blue Moon Westfarms,"4500 Westfarms Mall, Farmington, CT 06032, USA",(860) 313-0303,no url given
B & N Winter Enterprise,"111 Pine Lane, Douglassville, PA 19518, USA",no phone given,no url given
"BodyCalm, LLC","23A Bermuda Road, Westport, CT 06880, USA",no phone given,no url given
Boo Ya,"755 Wingard Road, Concord, NC 28025, USA",no phone given,no url given
"Botanical Boutiques, LLC","370 15th Avenue South, Unit C, Jacksonville Beach, FL 32250, USA",(904) 516-8048,https://botanicalboutiques.com/
Bowker's Pharmacy,"46 Bridge Street, Milford, NJ 08848, USA",(908) 995-4102,http://www.bowkersrx.com/
Bows & Cleats Boutique,"230 Outlet Avenue, Eddyville, KY 42038, USA",(270) 508-0529,https://www.bowsandcleats.com/
Brigay's Unique Goods,"1400 Shoal Creek, Suite F120, Highland Village, TX 75077, USA",(972) 318-1200,https://www.facebook.com/brigays/
"Brow Lounge, LLC","8 East Front Street, Suite 2, Red Bank, NJ 07701, USA",no phone given,no url given
Bs Heady House,"8336 West 10th Street, Suite D, Indianapolis, IN 46234, USA",no phone given,no url given
"BTLT Enterprises, Inc.","3720 Prairie Ridge Court, Simi Valley, CA 93063, USA",no phone given,no url given
Buddy Boy Brands,"2426 South Federal Boulevard, Denver, CO 80219, USA",no phone given,no url given
Bud's Glass Joint,"907 N 5th St, Phoenix, AZ 85004",(602) 258-1500,https://budsglassjoint.com/
Bud's On Grand,"1301 Grand Avenue, Suite #2C, Phoenix, AZ 85004, USA",(602) 293-3777,https://budsglassjoint.com/
Bulls Bridge Country Store,"337 Kent Road, Kent, CT 06757, USA",(860) 927-3094,no url given
Bungalow Road,"507 Main Street, Avon-by-the-Sea, NJ 07717, USA",(732) 455-5280,https://www.bungalowroad.com/
Bungalow's Foley,"219 South McKenzie Street, Foley, AL 36535, USA",no phone given,no url given
"Butterfli Beauty, LLC","2646 Dupont Drive, Suite 65, Irvine, CA 92612, USA",no phone given,no url given
By Love & Lashes Boutique,"211 Parking Way, Lake Jackson, TX 77566, USA",(979) 292-8272,no url given
By the Sea Day Spa,"107 Montowese Street, Branford, CT 06405, USA",(203) 483-3333,https://www.bytheseainnspa.com/
Cal Hemp Supply,"2486 Whitney Drive, Unit A, Mountain View, CA 94043, USA",no phone given,no url given
California Botanical Drugstore,"717 North Poinsettia Place, Los Angeles, CA 90046, USA",no phone given,no url given
Camillions,"1700 Kingfisher Drive, Suite 22, Frederick, MD 21701, USA",no phone given,no url given
"Cannabis Collective, LLC","549 West Washington Street, West Bend, WI 53095, USA",(262) 384-3800,https://www.cannabiscollectivewi.com/
Cannabis Xchange,"2432 South West 102nd Avenue, Miami, FL 33165, USA",no phone given,no url given
"CannaBiz Depot, LLC","200 4th Street South, La Crosse, WI 54601, USA",(608) 519-3910,https://mycannabizdepot.com/
"CannaBoy TreeHouse, LLC","562 Sweetland Avenue, Hillside, NJ 07205, USA",no phone given,no url given
Cannabuddies,"357 Skyview Drive, Bayfield, CO 81122, USA",no phone given,no url given
CannaCouture,"1321 West Will Rogers Boulevard, Claremore, OK 74017, USA",(918) 965-1234,http://www.greencanopysolutions.com/
Canna Help You,"2359 South West Cedar, Suite 5, Portland, OR 97205, USA",no phone given,no url given
"Cannibals Smoke Shop, LLC","9124 East Main Street, Suite 18, Mesa, AZ 85207, USA",(480) 357-5493,http://www.cannibalssmokeshop.com/
"Canni, LLC","810 South 5th Street, Milwaukee, WI 53204, USA",(414) 488-9319,https://www.cannihempco.com/
Cape Ann Botanicals,"8 Central Street, Ipswich, MA 01938, USA",(978) 356-3493,https://www.capeannbotanicals.com/
"Cape Cod Smoke Shop, Inc.","4 Barlows Landing Rd Unit 6, Pocasset, MA 02559",(508) 566-8252,https://capecodsmokeshops.com/
Capitol CBD,"1805 Noth Sterling Boulevard, Sterling, VA 20164, USA",no phone given,no url given
Cardsmart and Gifts,"2 Clark Place, Mahopac, NY 10541, USA",(845) 628-0300,https://www.facebook.com/Cardsmart-and-Gifts-of-Mahopac-451073315232995/
Cardtique,"560 Centerville Rd Centerville Square, Lancaster, PA 17601, USA",(717) 898-2282,https://stores.hallmark.com/pa/lancaster/centerville-cardtique-lancaster-pa-017000.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Caribbean Exposure Tanning,"14C Route 50, Seaville, NJ 08230, USA",(609) 624-2445,https://www.facebook.com/caribbeanexposure.tanning
Caroline's Cottage,"5900 SOM Center Road, Suite 11B, Willoughby, OH 44094, USA",(440) 944-0707,https://www.carolinescottagegifts.com/
Carriage Barn Florals Gifts,"389 Smith Ridge Road, South Salem, NY 10590, USA",(914) 533-7390,https://www.carriagebarnfloralsgifts.com/contact
Carter's Drug Store,"106 South Elk Avenue, Fayetteville, TN 37334, USA",(931) 433-1511,https://stores.hallmark.com/tn/fayetteville/carters-drug-store-fayetteville-tn-003824.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Catalina Hills Care,"12152 North Ranchi Vistoso Boulevard, Suite 140, Oro Valley, AZ 85755, USA",no phone given,no url given
"Caveat Hemptor, LLC","5 Larson Lane, Warren, NJ 07059, USA",no phone given,no url given
CBD123,"155 Mast Street, Suite 113, Morgan Hill, CA 95037, USA",no phone given,no url given
CBD4ME,"14629 Jarratt Road, Atascosa, TX 78002, USA",no phone given,no url given
"CBD 4 U, LLC","201 Station Road, Department 258, Quakertown, PA 18951, USA",(267) 875-6701,https://www.facebook.com/cbd4ullc/
CBD Advocate,"2207 Southeast 9th Terrace, Cape Coral, FL 33990, USA",no phone given,no url given
CBD & Beyond,"621 Beville Road, South Daytona, FL 32119, USA",(386) 238-9623,https://cbd-beyond.business.site/
CBD Central,"309 White Street, Suite A, Hendersonville, NC 28739, USA",(828) 513-1251,https://www.cbdcentralnc.com/
"CBD Girl, LLC","8585 Criterion Drive, Unit 62631, Colorado Springs, CO 80920, USA",no phone given,no url given
CBD Healing Magic,"41 West Main Street, Tamaqua, PA 18252, USA",no phone given,no url given
CBD Health Enterprises,"1 Coyote Lane, Troy, NY 12180, USA",no phone given,no url given
CBD Holistic Health,"2755 South Garland Avenue, Garland, TX 75041, USA",(469) 786-0450,https://cbd-holistic-health.business.site/
"CBDiscovery, LLC","1928 Warren Avenue, Longmont, CO 80501, USA",no phone given,no url given
CBDiva,"Apache Junction, AZ , USA",no phone given,https://www.facebook.com/cbdIVAboutique/
CBD Med,"4607 North Highway 146, Suite A, Baytown, TX 77520, USA",(281) 837-3193,https://www.cbdmedbaytowntx.com/
CBD Menomonie,"1320 Broadway Street North, Suite 3, Menomonie, WI 54751, USA",no phone given,no url given
CBD of Lawrence,"843 Massachusetts Street, Lawrence, KS 66044, USA",(785) 424-7015,https://www.cbdoflawrence.com/
CBD Outlet Centers,"418 North Main Street, Apartment 345, Corona, CA 92880, USA",no phone given,no url given
CBD Store of Michigan,"37 East Main Street, Suite G, Fremont, MI 49412, USA",(616) 291-9558,http://www.cbdstoremi.com/
"CBD Supply, LLC","402 1/2 Crain Highway South, Glen Burnie, MD 21061, USA",(410) 775-5326,https://www.cbdsupplymd.com/?fbclid=IwAR3vo-e6exAPTj6S4rMVqeYOrCc3ymlCmaXwfBF9IO6eOFy6tAVTqTDmD_4
CBD Tanning,"838 Christian Street, Philadelphia, PA 19147, USA",(267) 534-2947,https://cbdphillytan.com/
CBD Wellness,"14165 James Road, Suite 113, Rogers, MN 55374, USA",(763) 260-1696,http://cbdwellnessmn.com/
CBD Wellness Lounge,"3117 Blanco Rd, San Antonio, TX 78212, USA",(210) 538-4723,https://www.facebook.com/cbdwellnesslounge/
"CC Enterprises, LLC","864 Thompson Avenue, PO Box 58, Donora, PA 15033, USA",no phone given,no url given
CD Danza Salon & Spa,"711 South 4th Street, Renton, WA 98057, USA",(425) 793-8000,https://cddanza.com/
Cedar Chest,"150 Main Street, Northampton, MA 01060, USA",(413) 584-3860,http://explorecedarchest.com
Celebrations Cards,"11 Atlantic Avenue, Lynbrook, NY 11563, USA",(516) 593-6500,https://stores.hallmark.com/ny/lynbrook/celebrations-cards-lynbrook-ny-015813.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Cere's Natural Remedies,"115 Catamount Drive, Milton, VT 05468, USA",no phone given,no url given
"CGS, LLC / Xtreme CBD & Vapes","1125 Sienna Sand Way, Fort Mill, SC 29708, USA",no phone given,no url given
Char & Company,"234 Wyoming Avenue, West Pittston, PA 18643, USA",(570) 891-0085,http://www.charandcompany.com/
Charming Treasures,"178 Danielson Pike, PO Box #37, North Scituate, RI 02857, USA",(401) 764-5123,https://www.charmingtreasuresgifts.com/
Cheeky,"45 South College Street, Metter, GA 30439, USA",no phone given,no url given
Cheeky Fit,"901 East Eniversity, Suite 925, Las Cruces, NM 88005, USA",(575) 222-0925,https://www.cheeky-fit.com/
Chocolate Moose,"1743 L Street Northwest, Washington, DC 20036, USA",(202) 463-0992,http://www.chocolatemoosedc.com/
Citiva Brooklyn,"202 Flatbush Avenue, Brooklyn, NY 11217, USA",(212) 257-3145,https://citiva.com/
Citiva Hudson Valley,"1147 Route 9, Wappingers Falls, NY 12590, USA",(212) 257-3145,https://citiva.com/
City Fresh Market,"229 Knickerbocker Avenue, Brooklyn, NY 11237, USA",(718) 456-4707,http://mycityfreshmarket.com/229/
City Press Juice & Bottle,"1942 West Montrose, Chicago, IL 60613, USA",(773) 360-8527,http://citypressjuice.com/
"CJK Healing, LLC","250 West Juniper Avenue, #25, Gilbert, AZ 85233, USA",no phone given,no url given
Clementine Cycling Studio,"813 River Rd, Fair Haven, NJ 07704",(732) 784-7735,https://www.clementinecycling.com/
"Cloud 9 Spa, LLC","3214 South East Federal Highway, Stuart, FL 34997, USA",no phone given,no url given
Clover Gift Shop,"10 Elm Street, Woodstock, VT 05091, USA",(802) 457-2527,https://clovergiftshop.com/
"Club BizsSmart, LLC","835 West Warner Road, Suite #473, Gilbert, AZ 85233, USA",no phone given,no url given
C-Med Clinic,"1733 North Palm Canyon, Suite E, Palm Springs, CA 92262, USA",no phone given,no url given
"Coastal Pointe, LLC","22 Hyacinth, Lake Forest, CA 92630, USA",no phone given,no url given
Cold Creek Organics,"3693 East Highland Avenue, #C, Highland, CA 92346, USA",(909) 709-6000,no url given
Colorado's Best Day,"P.O. Box 200574, Evans, CO 80620, USA",no phone given,no url given
Colts Neck Pharmacy,"420 NJ-34, #309, Colts Neck, NJ 07722, USA",(732) 780-5480,https://www.coltsneckpharmacy.com/
"Community Chiropractic, LLC","494 Prospect Avenue, West Orange, NJ 07052, USA",(973) 736-9797,no url given
Country Hill,"11119 West Park Street, Pavilion, NY 14525, USA",(585) 584-3540,https://www.facebook.com/Country-Hill-Home-Accessories-Gifts-496327073714586/
Country North Gifts,"17 Market Square, Houlton, ME 04730, USA",(207) 532-7986,https://www.countrynorthgifts.com/
Country Sun Natural Foods,"440 South California Avenue, Palo Alto, CA 94306, USA",(650) 324-9190,https://countrysun.com/
Coveted Beauty Dispensary,"418 Garfield Street, Nashville, TN 37208, USA",no phone given,no url given
"Creative Blessings, LLC","5816 South 238th Court, Suite D5, Kent, WA 98032, USA",no phone given,no url given
Creative Choice CBD,"4303 West Sandra Circle, Glendale, AZ 85308, USA",no phone given,no url given
Cristallo Spa and Salon,"82 Hillside Avenue, Rehoboth, MA 02769, USA",(508) 342-5735,http://cristallospa.com/
"Crossroads CBD, LLC","125 Garrison Court, Temple, GA 30179, USA",no phone given,no url given
Cups and Cakes,"122 East River Road, Rumson, NJ 07760, USA",(732) 842-8080,https://cupsandcakesrumson.com/
"Curative Massage Therapy, LLC","301 North Main Street, Suite 301, Pueblo, CO 81003, USA",(719) 671-4317,http://pueblomassage.com/
Currie Salon And Spa,"585 Wilmington West Chester Pike, Glen Mills, PA 19342, USA",(610) 558-4247,https://curriedayspa.com/
Cutting Edge Cryo,"4808 State Highway 121, Suite #100, Lewisville, TX 75056, USA",(972) 850-2796,https://www.cuttingedgecryo.com/
C_Wickson Studios,"58 Range Road, Suite 15, Windham, NH 03087, USA",(603) 328-5984,http://www.cwicksonstudios.com/
D2 Dispensary,"7105 East 22nd Street, Tucson, AZ 85710, USA",(520) 214-3232,https://d2dispensary.com/
D2D Worldwide,"2851 West 120th Street, Suite E #590, Miami, FL 33131, USA",no phone given,no url given
Darby's,"410 Main Street, Natchez, MS 39120, USA",(601) 446-9737,http://darbysfudge.com/
Dar's Hallmark,"1006 South Main street, Plaza 27, Cheboygan, MI 49721, USA",(231) 627-6732,https://stores.hallmark.com/mi/cheboygan/dars-hallmark-shop-cheboygan-mi-010711.html?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
Dave's Gift Baskets,"1000 Divison Street, Suite #20, East Greenwich, RI 02818, USA",(401) 885-8390,https://www.davesgiftbaskets.com/pages/Home.cfm
Dear Jane,"329 North Park Avenue, Suite #105, Winter Park, FL	32789, USA",(407) 951-8890,https://dearjanewinterpark.com/
Debby's Hallmark,"6116 Falls of Neuse Road, Raleigh, NC 27609, USA",(919) 872-7723,https://www.edebbys.com/?mc=T_P_G_NA_NA_ED_NA_GC_RIO-local
de'Leaf CBD,"71160 Sanders Street, Abita Springs, LA 70420, USA",no phone given,no url given
Dermaluv Skin Care,"4921 Bruges Avenue, Woodland Hills, CA 91364, USA",(818) 540-8695,https://www.dermaluv.com/
Designs by SNK,"6120 South West 21st Terrace, Topeka, KS 66614, USA",no phone given,no url given
Details,"2158 Whitehall Drive, Winter Park, FL 32792, USA",no phone given,no url given
"Diamonds in the Ruff Ruff, Inc.","27772 Bottle Brush Way, Murietta, CA 92562, USA",no phone given,no url given
Dillard's- Abilene,"4310 Buffalo Gap Road, Abilene, TX 79606, USA",(325) 695-2200,https://www.dillards.com/stores/mall-of-abilene-abilene-texas/0744
Dillard's- Albany,"2601 Dawson Road, Albany, GA 31707, USA",(229) 883-7900,https://www.dillards.com/stores/albany-mall-albany-georgia/0276
Dillard's- Alexandria,"3437 Masonic Drive, Alexandria, LA 71301, USA",(318) 445-9992,https://www.dillards.com/stores/alexandria-mall-alexandria-louisiana/0436
Dillard's- Altamonte Springs,"451 East Altamonte Drive, Altamonte Springs, FL 32701, USA",no phone given,no url given
Dillard's- Amarillo,"7701 I-40 West, Suite 300, Amarillo, TX	79121, USA",(806) 358-7771,https://www.dillards.com/stores/westgate-mall-amarillo-texas/0740
Dillard's- Anderson,"3101 North Main Street, Suite D, Anderson, SC 29621, USA",(864) 224-1315,https://www.dillards.com/stores/anderson-mall-anderson-south-carolina/0168
Dillard's- Arbor Place,"6720 Douglas Boulevard, Douglasville, GA 30135, USA",(770) 577-4271,https://www.dillards.com/stores/arbor-place-douglasville-georgia/0262
Dillard's- Arrowhead,"7800 West Arrowhead Towne Center, Glendale, AZ 85308, USA",(623) 979-1128,https://www.dillards.com/stores/arrowhead-towne-center-glendale-arizona/0907
